Name," ""Team"""," ""Position"""
Tadahito Iguchi," ""CWS"""," ""Second Baseman"""
Juan Uribe," ""CWS"""," ""Shortstop"""
Alex Cintron," ""CWS"""," ""Shortstop"""
Joe Crede," ""CWS"""," ""Third Baseman"""
Josh Fields," ""CWS"""," ""Third Baseman"""
Ryan Sweeney," ""CWS"""," ""Outfielder"""
Brian N. Anderson," ""CWS"""," ""Outfielder"""
Luis Terrero," ""CWS"""," ""Outfielder"""
Pablo Ozuna," ""CWS"""," ""Outfielder"""
Scott Podsednik," ""CWS"""," ""Outfielder"""
Jermaine Dye," ""CWS"""," ""Outfielder"""
Darin Erstad," ""CWS"""," ""Outfielder"""
Rob Mackowiak," ""CWS"""," ""Outfielder"""
Jim Thome," ""CWS"""," ""Designated Hitter"""
Jerry Owens," ""CWS"""," ""Designated Hitter"""
Charlie Haeger," ""CWS"""," ""Starting Pitcher"""
Heath Phillips," ""CWS"""," ""Starting Pitcher"""
Gavin Floyd," ""CWS"""," ""Starting Pitcher"""
Jose Contreras," ""CWS"""," ""Starting Pitcher"""
Jon Garland," ""CWS"""," ""Starting Pitcher"""
Javier Vazquez," ""CWS"""," ""Starting Pitcher"""
Mark Buehrle," ""CWS"""," ""Starting Pitcher"""
Mike MacDougal," ""CWS"""," ""Relief Pitcher"""
David Aardsma," ""CWS"""," ""Relief Pitcher"""
Andrew Sisco," ""CWS"""," ""Relief Pitcher"""
Matt Thornton," ""CWS"""," ""Relief Pitcher"""
Bobby Jenks," ""CWS"""," ""Relief Pitcher"""
Boone Logan," ""CWS"""," ""Relief Pitcher"""
Sean Tracey," ""CWS"""," ""Relief Pitcher"""
Nick Masset," ""CWS"""," ""Relief Pitcher"""
Jose Molina," ""ANA"""," ""Catcher"""
Jeff Mathis," ""ANA"""," ""Catcher"""
Mike Napoli," ""ANA"""," ""Catcher"""
Casey Kotchman," ""ANA"""," ""First Baseman"""
Kendry Morales," ""ANA"""," ""First Baseman"""
Shea Hillenbrand," ""ANA"""," ""First Baseman"""
Robb Quinlan," ""ANA"""," ""First Baseman"""
Howie Kendrick," ""ANA"""," ""First Baseman"""
Orlando Cabrera," ""ANA"""," ""Shortstop"""
Erick Aybar," ""ANA"""," ""Shortstop"""
Dallas McPherson," ""ANA"""," ""Third Baseman"""
Maicer Izturis," ""ANA"""," ""Third Baseman"""
Reggie Willits," ""ANA"""," ""Outfielder"""
Tommy Murphy," ""ANA"""," ""Outfielder"""
Terry Evans," ""ANA"""," ""Outfielder"""
Gary Matthews Jr.," ""ANA"""," ""Outfielder"""
Garret Anderson," ""ANA"""," ""Outfielder"""
Vladimir Guerrero," ""ANA"""," ""Outfielder"""
Chone Figgins," ""ANA"""," ""Outfielder"""
Juan Rivera," ""ANA"""," ""Outfielder"""
John Lackey," ""ANA"""," ""Starting Pitcher"""
Bartolo Colon," ""ANA"""," ""Starting Pitcher"""
Kelvim Escobar," ""ANA"""," ""Starting Pitcher"""
Dustin Moseley," ""ANA"""," ""Starting Pitcher"""
Ervin Santana," ""ANA"""," ""Starting Pitcher"""
Joe Saunders," ""ANA"""," ""Starting Pitcher"""
Jered Weaver," ""ANA"""," ""Starting Pitcher"""
Chris Resop," ""ANA"""," ""Relief Pitcher"""
Phil Seibel," ""ANA"""," ""Relief Pitcher"""
Justin Speier," ""ANA"""," ""Relief Pitcher"""
Darren Oliver," ""ANA"""," ""Relief Pitcher"""
Hector Carrasco," ""ANA"""," ""Relief Pitcher"""
Scot Shields," ""ANA"""," ""Relief Pitcher"""
Francisco Rodriguez," ""ANA"""," ""Relief Pitcher"""
Greg Jones," ""ANA"""," ""Relief Pitcher"""
Doug Mirabelli," ""BOS"""," ""Catcher"""
Jason Varitek," ""BOS"""," ""Catcher"""
George Kottaras," ""BOS"""," ""Catcher"""
Kevin Youkilis," ""BOS"""," ""First Baseman"""
Dustin Pedroia," ""BOS"""," ""Second Baseman"""
Alex Cora," ""BOS"""," ""Shortstop"""
Julio Lugo," ""BOS"""," ""Shortstop"""
Mike Lowell," ""BOS"""," ""Third Baseman"""
Wily Mo Pe?a," ""BOS"""," ""Outfielder"""
J.D. Drew," ""BOS"""," ""Outfielder"""
Manny Ramirez," ""BOS"""," ""Outfielder"""
Brandon Moss," ""BOS"""," ""Outfielder"""
David Murphy," ""BOS"""," ""Outfielder"""
Eric Hinske," ""BOS"""," ""Outfielder"""
Coco Crisp," ""BOS"""," ""Outfielder"""
David Ortiz," ""BOS"""," ""Designated Hitter"""
Curt Schilling," ""BOS"""," ""Starting Pitcher"""
Tim Wakefield," ""BOS"""," ""Starting Pitcher"""
Josh Beckett," ""BOS"""," ""Starting Pitcher"""
Matt Clement," ""BOS"""," ""Starting Pitcher"""
Jonathan Papelbon," ""BOS"""," ""Starting Pitcher"""
Kyle Snyder," ""BOS"""," ""Starting Pitcher"""
Devern Hansack," ""BOS"""," ""Starting Pitcher"""
Jon Lester," ""BOS"""," ""Starting Pitcher"""
Kason Gabbard," ""BOS"""," ""Starting Pitcher"""
Craig Hansen," ""BOS"""," ""Relief Pitcher"""
Hideki Okajima," ""BOS"""," ""Relief Pitcher"""
Craig Breslow," ""BOS"""," ""Relief Pitcher"""
Manny Delcarmen," ""BOS"""," ""Relief Pitcher"""
Brendan Donnelly," ""BOS"""," ""Relief Pitcher"""
Javier Lopez," ""BOS"""," ""Relief Pitcher"""
J.C. Romero," ""BOS"""," ""Relief Pitcher"""
Joel Pineiro," ""BOS"""," ""Relief Pitcher"""
Julian Tavarez," ""BOS"""," ""Relief Pitcher"""
Mike Timlin," ""BOS"""," ""Relief Pitcher"""
Nick DeBarr," ""BOS"""," ""Relief Pitcher"""
Victor Martinez," ""CLE"""," ""Catcher"""
Kelly Shoppach," ""CLE"""," ""Catcher"""
Ryan Garko," ""CLE"""," ""First Baseman"""
Joe Inglett," ""CLE"""," ""Second Baseman"""
Josh Barfield," ""CLE"""," ""Second Baseman"""
Hector Luna," ""CLE"""," ""Second Baseman"""
Jhonny Peralta," ""CLE"""," ""Shortstop"""
Andy Marte," ""CLE"""," ""Third Baseman"""
Ben Francisco," ""CLE"""," ""Outfielder"""
Shin-Soo Choo," ""CLE"""," ""Outfielder"""
Franklin Gutierrez," ""CLE"""," ""Outfielder"""
Grady Sizemore," ""CLE"""," ""Outfielder"""
Jason Michaels," ""CLE"""," ""Outfielder"""
Trot Nixon," ""CLE"""," ""Outfielder"""
David Dellucci," ""CLE"""," ""Outfielder"""
Casey Blake," ""CLE"""," ""Outfielder"""
Travis Hafner," ""CLE"""," ""Designated Hitter"""
Paul Byrd," ""CLE"""," ""Starting Pitcher"""
Cliff Lee," ""CLE"""," ""Starting Pitcher"""
Jake Westbrook," ""CLE"""," ""Starting Pitcher"""
C.C. Sabathia," ""CLE"""," ""Starting Pitcher"""
Jeremy Sowers," ""CLE"""," ""Starting Pitcher"""
Rafael Perez," ""CLE"""," ""Relief Pitcher"""
Brian Slocum," ""CLE"""," ""Relief Pitcher"""
Edward Mujica," ""CLE"""," ""Relief Pitcher"""
Fernando Cabrera," ""CLE"""," ""Relief Pitcher"""
Tom Mastny," ""CLE"""," ""Relief Pitcher"""
Juan Lara," ""CLE"""," ""Relief Pitcher"""
Fausto Carmona," ""CLE"""," ""Relief Pitcher"""
Aaron Fultz," ""CLE"""," ""Relief Pitcher"""
Rafael Betancourt," ""CLE"""," ""Relief Pitcher"""
Roberto Hernandez," ""CLE"""," ""Relief Pitcher"""
Joe Borowski," ""CLE"""," ""Relief Pitcher"""
Matt Miller," ""CLE"""," ""Relief Pitcher"""
Jason Davis," ""CLE"""," ""Relief Pitcher"""
Mike Piazza," ""OAK"""," ""Catcher"""
Jason Kendall," ""OAK"""," ""Catcher"""
Adam Melhuse," ""OAK"""," ""Catcher"""
Nick Swisher," ""OAK"""," ""First Baseman"""
Dan Johnson," ""OAK"""," ""First Baseman"""
Donald Murphy," ""OAK"""," ""Second Baseman"""
Mark Ellis," ""OAK"""," ""Second Baseman"""
Marco Scutaro," ""OAK"""," ""Shortstop"""
Bobby Crosby," ""OAK"""," ""Shortstop"""
Mark Kiger," ""OAK"""," ""Shortstop"""
Antonio Perez," ""OAK"""," ""Third Baseman"""
Eric Chavez," ""OAK"""," ""Third Baseman"""
Milton Bradley," ""OAK"""," ""Outfielder"""
Shannon Stewart," ""OAK"""," ""Outfielder"""
Bobby Kielty," ""OAK"""," ""Outfielder"""
Mark Kotsay," ""OAK"""," ""Outfielder"""
Ryan Goleski," ""OAK"""," ""Outfielder"""
Jeremy Brown," ""OAK"""," ""Designated Hitter"""
Jason Windsor," ""OAK"""," ""Starting Pitcher"""
David Shafer," ""OAK"""," ""Starting Pitcher"""
Joe Blanton," ""OAK"""," ""Starting Pitcher"""
Brad Halsey," ""OAK"""," ""Starting Pitcher"""
Dan Haren," ""OAK"""," ""Starting Pitcher"""
Rich Harden," ""OAK"""," ""Starting Pitcher"""
Joe Kennedy," ""OAK"""," ""Starting Pitcher"""
Esteban Loaiza," ""OAK"""," ""Starting Pitcher"""
Alan Embree," ""OAK"""," ""Relief Pitcher"""
Jay Witasick," ""OAK"""," ""Relief Pitcher"""
Justin Duchscherer," ""OAK"""," ""Relief Pitcher"""
Kiko Calero," ""OAK"""," ""Relief Pitcher"""
Chad Gaudin," ""OAK"""," ""Relief Pitcher"""
Lenny DiNardo," ""OAK"""," ""Relief Pitcher"""
Scott Dunn," ""OAK"""," ""Relief Pitcher"""
Huston Street," ""OAK"""," ""Relief Pitcher"""
Ron Flores," ""OAK"""," ""Relief Pitcher"""
Jay Marshall," ""OAK"""," ""Relief Pitcher"""
Marcus McBeth," ""OAK"""," ""Relief Pitcher"""
Jorge Posada," ""NYY"""," ""Catcher"""
Wil Nieves," ""NYY"""," ""Catcher"""
Andy Phillips," ""NYY"""," ""First Baseman"""
Doug Mientkiewicz," ""NYY"""," ""First Baseman"""
Josh Phelps," ""NYY"""," ""First Baseman"""
Miguel Cairo," ""NYY"""," ""Second Baseman"""
Robinson Cano," ""NYY"""," ""Second Baseman"""
Derek Jeter," ""NYY"""," ""Shortstop"""
Alex Rodriguez," ""NYY"""," ""Third Baseman"""
Johnny Damon," ""NYY"""," ""Outfielder"""
Bobby Abreu," ""NYY"""," ""Outfielder"""
Hideki Matsui," ""NYY"""," ""Outfielder"""
Melky Cabrera," ""NYY"""," ""Outfielder"""
Kevin Thompson," ""NYY"""," ""Outfielder"""
Jason Giambi," ""NYY"""," ""Designated Hitter"""
Mike Mussina," ""NYY"""," ""Starting Pitcher"""
Carl Pavano," ""NYY"""," ""Starting Pitcher"""
Andy Pettitte," ""NYY"""," ""Starting Pitcher"""
Darrell Rasner," ""NYY"""," ""Starting Pitcher"""
Jeff Karstens," ""NYY"""," ""Starting Pitcher"""
Humberto Sanchez," ""NYY"""," ""Starting Pitcher"""
Chien-Ming Wang," ""NYY"""," ""Starting Pitcher"""
Sean Henn," ""NYY"""," ""Relief Pitcher"""
Scott Proctor," ""NYY"""," ""Relief Pitcher"""
Brian Bruney," ""NYY"""," ""Relief Pitcher"""
Chris Britton," ""NYY"""," ""Relief Pitcher"""
T.J. Beam," ""NYY"""," ""Relief Pitcher"""
Jose Veras," ""NYY"""," ""Relief Pitcher"""
Kyle Farnsworth," ""NYY"""," ""Relief Pitcher"""
Luis Vizcaino," ""NYY"""," ""Relief Pitcher"""
Mike Myers," ""NYY"""," ""Relief Pitcher"""
Mariano Rivera," ""NYY"""," ""Relief Pitcher"""
Ivan Rodriguez," ""DET"""," ""Catcher"""
Vance Wilson," ""DET"""," ""Catcher"""
Sean Casey," ""DET"""," ""First Baseman"""
Chris Shelton," ""DET"""," ""First Baseman"""
Omar Infante," ""DET"""," ""Second Baseman"""
Placido Polanco," ""DET"""," ""Second Baseman"""
Neifi Perez," ""DET"""," ""Second Baseman"""
Carlos Guillen," ""DET"""," ""Shortstop"""
Ramon Santiago," ""DET"""," ""Shortstop"""
Tony Giarratano," ""DET"""," ""Shortstop"""
Brandon Inge," ""DET"""," ""Third Baseman"""
Craig Monroe," ""DET"""," ""Outfielder"""
Magglio Ordo?ez," ""DET"""," ""Outfielder"""
Curtis Granderson," ""DET"""," ""Outfielder"""
Brent Clevlen," ""DET"""," ""Outfielder"""
Marcus Thames," ""DET"""," ""Outfielder"""
Gary Sheffield," ""DET"""," ""Outfielder"""
Mike Rabelo," ""DET"""," ""Designated Hitter"""
Zach Miner," ""DET"""," ""Starting Pitcher"""
Jeremy Bonderman," ""DET"""," ""Starting Pitcher"""
Nate Robertson," ""DET"""," ""Starting Pitcher"""
Justin Verlander," ""DET"""," ""Starting Pitcher"""
Virgil Vasquez," ""DET"""," ""Starting Pitcher"""
Kenny Rogers," ""DET"""," ""Starting Pitcher"""
Mike Maroth," ""DET"""," ""Starting Pitcher"""
Fernando Rodney," ""DET"""," ""Relief Pitcher"""
Chad Durbin," ""DET"""," ""Relief Pitcher"""
Jason Grilli," ""DET"""," ""Relief Pitcher"""
Jose Mesa," ""DET"""," ""Relief Pitcher"""
Todd Jones," ""DET"""," ""Relief Pitcher"""
Joel Zumaya," ""DET"""," ""Relief Pitcher"""
Jordan Tata," ""DET"""," ""Relief Pitcher"""
Andrew Miller," ""DET"""," ""Relief Pitcher"""
Yorman Bazardo," ""DET"""," ""Relief Pitcher"""
Wilfredo Ledezma," ""DET"""," ""Relief Pitcher"""
Roman Colon," ""DET"""," ""Relief Pitcher"""
Edward Campusano," ""DET"""," ""Relief Pitcher"""
Rene Rivera," ""SEA"""," ""Catcher"""
Kenji Johjima," ""SEA"""," ""Catcher"""
Richie Sexson," ""SEA"""," ""First Baseman"""
Ben Broussard," ""SEA"""," ""First Baseman"""
Jose Lopez," ""SEA"""," ""Second Baseman"""
Jose Vidro," ""SEA"""," ""Second Baseman"""
Yuniesky Betancourt," ""SEA"""," ""Shortstop"""
Oswaldo Navarro," ""SEA"""," ""Shortstop"""
Adrian Beltre," ""SEA"""," ""Third Baseman"""
Raul Ibanez," ""SEA"""," ""Outfielder"""
Jose Guillen," ""SEA"""," ""Outfielder"""
Jeremy Reed," ""SEA"""," ""Outfielder"""
Willie Bloomquist," ""SEA"""," ""Outfielder"""
Adam Jones," ""SEA"""," ""Outfielder"""
Ichiro Suzuki," ""SEA"""," ""Outfielder"""
Mike Morse," ""SEA"""," ""Outfielder"""
Felix Hernandez," ""SEA"""," ""Starting Pitcher"""
Ryan Feierabend," ""SEA"""," ""Starting Pitcher"""
Sean White," ""SEA"""," ""Starting Pitcher"""
Horacio Ramirez," ""SEA"""," ""Starting Pitcher"""
Cha Baek," ""SEA"""," ""Starting Pitcher"""
Miguel Batista," ""SEA"""," ""Starting Pitcher"""
Jeff Weaver," ""SEA"""," ""Starting Pitcher"""
Jarrod Washburn," ""SEA"""," ""Starting Pitcher"""
George Sherrill," ""SEA"""," ""Relief Pitcher"""
Julio Mateo," ""SEA"""," ""Relief Pitcher"""
J.J. Putz," ""SEA"""," ""Relief Pitcher"""
Chris Reitsma," ""SEA"""," ""Relief Pitcher"""
Cesar Jimenez," ""SEA"""," ""Relief Pitcher"""
Eric O'Flaherty," ""SEA"""," ""Relief Pitcher"""
Jon Huber," ""SEA"""," ""Relief Pitcher"""
Jake Woods," ""SEA"""," ""Relief Pitcher"""
Sean Green," ""SEA"""," ""Relief Pitcher"""
Mark Lowe," ""SEA"""," ""Relief Pitcher"""
Josh Paul," ""TB"""," ""Catcher"""
Dioner Navarro," ""TB"""," ""Catcher"""
Shawn Riggans," ""TB"""," ""Catcher"""
Ty Wigginton," ""TB"""," ""First Baseman"""
Brendan Harris," ""TB"""," ""Second Baseman"""
Jorge Cantu," ""TB"""," ""Second Baseman"""
Ben Zobrist," ""TB"""," ""Shortstop"""
B.J. Upton," ""TB"""," ""Third Baseman"""
Carl Crawford," ""TB"""," ""Outfielder"""
Rocco Baldelli," ""TB"""," ""Outfielder"""
Greg Norton," ""TB"""," ""Outfielder"""
Elijah Dukes," ""TB"""," ""Outfielder"""
Delmon Young," ""TB"""," ""Outfielder"""
Jonny Gomes," ""TB"""," ""Designated Hitter"""
Edwin Jackson," ""TB"""," ""Starting Pitcher"""
Scott Kazmir," ""TB"""," ""Starting Pitcher"""
Casey Fossum," ""TB"""," ""Starting Pitcher"""
Jae Seo," ""TB"""," ""Starting Pitcher"""
J.P. Howell," ""TB"""," ""Starting Pitcher"""
Tim Corcoran," ""TB"""," ""Starting Pitcher"""
Jason Hammel," ""TB"""," ""Starting Pitcher"""
James Shields," ""TB"""," ""Starting Pitcher"""
Brian Stokes," ""TB"""," ""Starting Pitcher"""
Juan Salas," ""TB"""," ""Relief Pitcher"""
Jeff Ridgway," ""TB"""," ""Relief Pitcher"""
Ruddy Lugo," ""TB"""," ""Relief Pitcher"""
Jae-Kuk Ryu," ""TB"""," ""Relief Pitcher"""
Chad Orvella," ""TB"""," ""Relief Pitcher"""
Dan Miceli," ""TB"""," ""Relief Pitcher"""
Seth McClung," ""TB"""," ""Relief Pitcher"""
Jon Switzer," ""TB"""," ""Relief Pitcher"""
Shawn Camp," ""TB"""," ""Relief Pitcher"""
Scott Dohmann," ""TB"""," ""Relief Pitcher"""
Jason LaRue," ""KC"""," ""Catcher"""
John Buck," ""KC"""," ""Catcher"""
Ryan Shealy," ""KC"""," ""First Baseman"""
Ross Gload," ""KC"""," ""First Baseman"""
Esteban German," ""KC"""," ""Second Baseman"""
Mark Grudzielanek," ""KC"""," ""Second Baseman"""
Angel Sanchez," ""KC"""," ""Second Baseman"""
Angel Berroa," ""KC"""," ""Shortstop"""
Andres Blanco," ""KC"""," ""Shortstop"""
Mark Teahen," ""KC"""," ""Third Baseman"""
Joey Gathright," ""KC"""," ""Outfielder"""
David DeJesus," ""KC"""," ""Outfielder"""
Shane Costa," ""KC"""," ""Outfielder"""
Mitch Maier," ""KC"""," ""Outfielder"""
Reggie Sanders," ""KC"""," ""Outfielder"""
Emil Brown," ""KC"""," ""Outfielder"""
Mike Sweeney," ""KC"""," ""Designated Hitter"""
John Bale," ""KC"""," ""Starting Pitcher"""
Luke Hudson," ""KC"""," ""Starting Pitcher"""
Scott Elarton," ""KC"""," ""Starting Pitcher"""
Odalis Perez," ""KC"""," ""Starting Pitcher"""
Gil Meche," ""KC"""," ""Starting Pitcher"""
Neal Musser," ""KC"""," ""Starting Pitcher"""
Brian Bannister," ""KC"""," ""Starting Pitcher"""
Zack Greinke," ""KC"""," ""Starting Pitcher"""
Jorge De La Rosa," ""KC"""," ""Starting Pitcher"""
Todd Wellemeyer," ""KC"""," ""Relief Pitcher"""
Jimmy Gobble," ""KC"""," ""Relief Pitcher"""
Joel Peralta," ""KC"""," ""Relief Pitcher"""
Ryan Braun," ""KC"""," ""Relief Pitcher"""
Joakim Soria," ""KC"""," ""Relief Pitcher"""
Ken Ray," ""KC"""," ""Relief Pitcher"""
David Riske," ""KC"""," ""Relief Pitcher"""
Octavio Dotel," ""KC"""," ""Relief Pitcher"""
Joe Nelson," ""KC"""," ""Relief Pitcher"""
Gerald Laird," ""TEX"""," ""Catcher"""
Miguel Ojeda," ""TEX"""," ""Catcher"""
Guillermo Quiroz," ""TEX"""," ""Catcher"""
Chris Stewart," ""TEX"""," ""Catcher"""
Mark Teixeira," ""TEX"""," ""First Baseman"""
Ian Kinsler," ""TEX"""," ""Second Baseman"""
Joaquin Arias," ""TEX"""," ""Shortstop"""
Michael Young," ""TEX"""," ""Shortstop"""
Hank Blalock," ""TEX"""," ""Third Baseman"""
Marlon Byrd," ""TEX"""," ""Outfielder"""
Brad Wilkerson," ""TEX"""," ""Outfielder"""
Sammy Sosa," ""TEX"""," ""Outfielder"""
Kenny Lofton," ""TEX"""," ""Outfielder"""
Frank Catalanotto," ""TEX"""," ""Outfielder"""
Nelson Cruz," ""TEX"""," ""Outfielder"""
Jason Botts," ""TEX"""," ""Designated Hitter"""
Robinson Tejeda," ""TEX"""," ""Starting Pitcher"""
John Rheinecker," ""TEX"""," ""Starting Pitcher"""
Edinson Volquez," ""TEX"""," ""Starting Pitcher"""
A.J. Murray," ""TEX"""," ""Starting Pitcher"""
Brandon McCarthy," ""TEX"""," ""Starting Pitcher"""
Vicente Padilla," ""TEX"""," ""Starting Pitcher"""
Kevin Millwood," ""TEX"""," ""Starting Pitcher"""
John Koronka," ""TEX"""," ""Starting Pitcher"""
Frank Francisco," ""TEX"""," ""Relief Pitcher"""
Francisco Cruceta," ""TEX"""," ""Relief Pitcher"""
Akinori Otsuka," ""TEX"""," ""Relief Pitcher"""
Eric Gagne," ""TEX"""," ""Relief Pitcher"""
Ron Mahay," ""TEX"""," ""Relief Pitcher"""
Joaquin Benoit," ""TEX"""," ""Relief Pitcher"""
Rick Bauer," ""TEX"""," ""Relief Pitcher"""
Josh Rupe," ""TEX"""," ""Relief Pitcher"""
Wes Littleton," ""TEX"""," ""Relief Pitcher"""
C.J. Wilson," ""TEX"""," ""Relief Pitcher"""
Scott Feldman," ""TEX"""," ""Relief Pitcher"""
Gregg Zaun," ""TOR"""," ""Catcher"""
Jason Phillips," ""TOR"""," ""Catcher"""
Lyle Overbay," ""TOR"""," ""First Baseman"""
Russ Adams," ""TOR"""," ""Second Baseman"""
Aaron Hill," ""TOR"""," ""Second Baseman"""
Jason Smith," ""TOR"""," ""Second Baseman"""
John McDonald," ""TOR"""," ""Shortstop"""
Royce Clayton," ""TOR"""," ""Shortstop"""
Troy Glaus," ""TOR"""," ""Third Baseman"""
John Hattig," ""TOR"""," ""Third Baseman"""
Reed Johnson," ""TOR"""," ""Outfielder"""
Alex Rios," ""TOR"""," ""Outfielder"""
Vernon Wells," ""TOR"""," ""Outfielder"""
Frank Thomas," ""TOR"""," ""Designated Hitter"""
Adam Lind," ""TOR"""," ""Designated Hitter"""
Shaun Marcum," ""TOR"""," ""Starting Pitcher"""
Casey Janssen," ""TOR"""," ""Starting Pitcher"""
Gustavo Chacin," ""TOR"""," ""Starting Pitcher"""
A.J. Burnett," ""TOR"""," ""Starting Pitcher"""
Roy Halladay," ""TOR"""," ""Starting Pitcher"""
John Thomson," ""TOR"""," ""Starting Pitcher"""
Tomo Ohka," ""TOR"""," ""Starting Pitcher"""
B.J. Ryan," ""TOR"""," ""Relief Pitcher"""
Scott Downs," ""TOR"""," ""Relief Pitcher"""
Brian Tallet," ""TOR"""," ""Relief Pitcher"""
Matt Roney," ""TOR"""," ""Relief Pitcher"""
Tracy Thorpe," ""TOR"""," ""Relief Pitcher"""
Jean Machi," ""TOR"""," ""Relief Pitcher"""
Brandon League," ""TOR"""," ""Relief Pitcher"""
Dustin McGowan," ""TOR"""," ""Relief Pitcher"""
Jason Frasor," ""TOR"""," ""Relief Pitcher"""
Francisco Rosario," ""TOR"""," ""Relief Pitcher"""
Davis Romero," ""TOR"""," ""Relief Pitcher"""
Jeremy Accardo," ""TOR"""," ""Relief Pitcher"""
Mike Redmond," ""MIN"""," ""Catcher"""
Joe Mauer," ""MIN"""," ""Catcher"""
Chris Heintz," ""MIN"""," ""Catcher"""
Justin Morneau," ""MIN"""," ""First Baseman"""
Luis Castillo," ""MIN"""," ""Second Baseman"""
Alexi Casilla," ""MIN"""," ""Second Baseman"""
Alejandro Machado," ""MIN"""," ""Second Baseman"""
Jason Bartlett," ""MIN"""," ""Shortstop"""
Luis Rodriguez," ""MIN"""," ""Third Baseman"""
Jeff Cirillo," ""MIN"""," ""Third Baseman"""
Nick Punto," ""MIN"""," ""Third Baseman"""
Jason Tyner," ""MIN"""," ""Outfielder"""
Michael Cuddyer," ""MIN"""," ""Outfielder"""
Torii Hunter," ""MIN"""," ""Outfielder"""
Lew Ford," ""MIN"""," ""Outfielder"""
Jason Kubel," ""MIN"""," ""Outfielder"""
Josh Rabe," ""MIN"""," ""Designated Hitter"""
Rondell White," ""MIN"""," ""Designated Hitter"""
Ramon Ortiz," ""MIN"""," ""Starting Pitcher"""
Johan Santana," ""MIN"""," ""Starting Pitcher"""
Carlos Silva," ""MIN"""," ""Starting Pitcher"""
Matt Garza," ""MIN"""," ""Starting Pitcher"""
Boof Bonser," ""MIN"""," ""Starting Pitcher"""
Francisco Liriano," ""MIN"""," ""Starting Pitcher"""
Scott Baker," ""MIN"""," ""Starting Pitcher"""
Pat Neshek," ""MIN"""," ""Relief Pitcher"""
Glen Perkins," ""MIN"""," ""Relief Pitcher"""
Julio DePaula," ""MIN"""," ""Relief Pitcher"""
Juan Rincon," ""MIN"""," ""Relief Pitcher"""
Jesse Crain," ""MIN"""," ""Relief Pitcher"""
Matt Guerrier," ""MIN"""," ""Relief Pitcher"""
Joe Nathan," ""MIN"""," ""Relief Pitcher"""
Dennys Reyes," ""MIN"""," ""Relief Pitcher"""
Brayan Pe?a," ""ATL"""," ""Catcher"""
Brian McCann," ""ATL"""," ""Catcher"""
Craig Wilson," ""ATL"""," ""First Baseman"""
Chris Woodward," ""ATL"""," ""Second Baseman"""
Pete Orr," ""ATL"""," ""Second Baseman"""
Martin Prado," ""ATL"""," ""Second Baseman"""
Tony Pe?a," ""ATL"""," ""Shortstop"""
Edgar Renteria," ""ATL"""," ""Shortstop"""
Chipper Jones," ""ATL"""," ""Third Baseman"""
Willy Aybar," ""ATL"""," ""Third Baseman"""
Jeff Francoeur," ""ATL"""," ""Outfielder"""
Matt Diaz," ""ATL"""," ""Outfielder"""
Kelly Johnson," ""ATL"""," ""Outfielder"""
Andruw Jones," ""ATL"""," ""Outfielder"""
Ryan Langerhans," ""ATL"""," ""Outfielder"""
Scott Thorman," ""ATL"""," ""Outfielder"""
T.J. Bohn," ""ATL"""," ""Outfielder"""
Tim Hudson," ""ATL"""," ""Starting Pitcher"""
